S0,L,ms,fi,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
26.627,88.5,0.676,0.0806885,0.8458,0.819774,0.798922,0.776065,0.751202,0.734105,0.724774,0.707913,1.14189,1.11919,1.09431,1.07716,1.06775,1.04818,1.01846,0.999722,1.16721,1.18606,1.2073,1.23134,1.25818,1.28215,1.30324,1.32611,1.35076,1.36757,1.4055,1.41631,1.41322,0.004471,0.004795,0.005155,0.005573,0.006049,0.00655625,0.00709475,0.007761,0.008555,0.00935,0.005471,0.005962,0.006516,0.00710875,0.00774025,0.00849175,0.00936325,0.0102175,0.0110545,0.0121105,0.00421451,0.00459399,0.00521022,0.00594514,0.00679875,0.00774704,0.00879002,0.00998028,0.0113178,0.0134777,0.0172525,0.0215367,0.0254422
30.335,115.5,0.62,0.655965,0.93435,0.915601,0.897742,0.881531,0.866969,0.856602,0.850429,0.842114,1.25989,1.26299,1.26811,1.27559,1.28541,1.28817,1.28386,1.28367,1.14853,1.16438,1.18611,1.21175,1.24132,1.26847,1.29319,1.31999,1.34887,1.39647,1.46528,1.50677,1.52456,0.00487525,0.0053395,0.0058665,0.006451,0.007093,0.00783875,0.00868825,0.00969375,0.0108553,0.0121397,0.00599925,0.00669625,0.00751075,0.00846475,0.00955825,0.0107928,0.0121682,0.013698,0.015382,0.0173975,0.00425964,0.00459116,0.00517715,0.00590895,0.00678656,0.00778881,0.0089157,0.0102224,0.0117089,0.0144642,0.0191556,0.0249118,0.030227
28.893,119.1,0.988,-0.348398,0.80249,0.770196,0.741664,0.713225,0.684878,0.657326,0.63057,0.606491,1.08729,1.05385,1.01908,0.98849,0.962067,0.930524,0.893861,0.863434,1.17003,1.19615,1.22376,1.24534,1.2609,1.28291,1.31136,1.33558,1.35557,1.37133,1.39591,1.41664,1.42394,0.00380275,0.004006,0.004232,0.004483,0.004759,0.00504725,0.00534775,0.00566975,0.00601325,0.006396,0.0046325,0.00495175,0.00529925,0.00565225,0.00601075,0.00640725,0.00684175,0.00725425,0.00764475,0.00811725,0.00362839,0.00407264,0.0046838,0.00534039,0.00604242,0.00684767,0.00775613,0.00873027,0.00977009,0.0114372,0.0141226,0.0173625,0.0201787
28.687,113.7,0.836,0.115091,0.856291,0.833289,0.812215,0.794936,0.78145,0.769859,0.760162,0.756105,1.16572,1.15501,1.14389,1.13481,1.12776,1.11925,1.10928,1.10517,1.15967,1.18277,1.2057,1.23308,1.26489,1.29101,1.31144,1.33508,1.36194,1.39765,1.43555,1.4566,1.46167,0.00431025,0.004663,0.005055,0.00548875,0.00596425,0.0065025,0.0071035,0.007809,0.008619,0.0095785,0.005318,0.0058535,0.0064625,0.00711675,0.00781625,0.00861075,0.00950025,0.0104895,0.0115785,0.012864,0.00380945,0.00425046,0.00490164,0.00567181,0.00656097,0.00752069,0.00855097,0.00973177,0.0110631,0.0133548,0.0169396,0.02131,0.0251411
27.451,99.3,0.804,0.00154507,0.8449,0.817082,0.794165,0.773127,0.753968,0.734821,0.715686,0.70342,1.14187,1.11815,1.09247,1.07481,1.06519,1.05179,1.03463,1.02423,1.1602,1.1849,1.2128,1.23909,1.26377,1.28554,1.30439,1.32662,1.35223,1.37219,1.40192,1.43879,1.4561,0.0043205,0.0046435,0.0049865,0.0053765,0.0058135,0.00629775,0.00682925,0.00741275,0.00804825,0.00881425,0.0052975,0.0057795,0.0063025,0.006851,0.007425,0.0081105,0.0089075,0.00975625,0.0106567,0.0117355,0.00386874,0.00431487,0.00498206,0.00573888,0.00658534,0.00751048,0.0085143,0.00966666,0.0109676,0.0130561,0.0164752,0.020888,0.0247441
33.837,36.3,0.868,-0.155116,1.00909,0.972907,0.93706,0.903468,0.87213,0.840466,0.808476,0.779619,1.4102,1.38374,1.35666,1.32895,1.30061,1.26763,1.23002,1.19348,1.15735,1.18298,1.21434,1.24591,1.2777,1.31068,1.34486,1.37402,1.39814,1.43575,1.48166,1.51521,1.53097,0.0049735,0.00538575,0.00580525,0.006249,0.006717,0.0072265,0.0077775,0.00836175,0.00897925,0.00965825,0.0063045,0.0069635,0.0076445,0.00835625,0.00909875,0.00990625,0.0107788,0.011661,0.012553,0.013512,0.00365234,0.00408753,0.0047441,0.00551096,0.0063881,0.00739296,0.00852553,0.0097582,0.011091,0.0134332,0.0171843,0.021774,0.0257685
32.807,117.3,0.668,0.284885,0.897765,0.87654,0.860076,0.843683,0.82736,0.818442,0.816931,0.809852,1.23176,1.21907,1.20915,1.20116,1.19509,1.19531,1.20184,1.20108,1.15901,1.18014,1.20518,1.2331,1.26387,1.29438,1.3246,1.35065,1.3725,1.39853,1.43439,1.46583,1.48324,0.0047355,0.005127,0.005569,0.0060905,0.0066915,0.00734425,0.00804875,0.008925,0.009973,0.011085,0.00593025,0.0065435,0.0072105,0.00797225,0.00882875,0.00978925,0.0108538,0.012122,0.013594,0.0152043,0.00419509,0.00458265,0.00522276,0.00599594,0.00690219,0.00792972,0.00907853,0.0103488,0.0117405,0.0141669,0.0181451,0.0231278,0.0277061
30.541,47.1,0.796,0.209161,1.01085,0.986631,0.963105,0.943254,0.927081,0.912933,0.900813,0.893199,1.40918,1.40726,1.41104,1.40995,1.404,1.40069,1.40001,1.40365,1.15599,1.17698,1.2038,1.23058,1.25732,1.29184,1.33414,1.36837,1.39454,1.44641,1.50486,1.54441,1.57153,0.005046,0.005526,0.00606,0.00663725,0.00725775,0.00796975,0.00877325,0.00967575,0.0106773,0.0118712,0.00640525,0.00718475,0.00801825,0.008968,0.010034,0.0112255,0.0125425,0.0139925,0.0155755,0.01741,0.00379517,0.00419474,0.00484049,0.00560328,0.00648311,0.00753647,0.00876337,0.0101042,0.0115589,0.0142512,0.0185724,0.0238482,0.0285908
32.189,84.9,0.932,-0.124643,0.926712,0.897496,0.867339,0.837077,0.806711,0.782491,0.764416,0.745437,1.27878,1.26234,1.24859,1.22313,1.18595,1.15468,1.12932,1.10621,1.16092,1.18761,1.21849,1.24985,1.28168,1.31048,1.33624,1.35955,1.38039,1.42389,1.46589,1.47654,1.48422,0.00457275,0.00493525,0.00533775,0.00576,0.006202,0.00665625,0.00712275,0.00768025,0.00832875,0.00902125,0.00572775,0.0062865,0.0069055,0.00758625,0.00832875,0.009034,0.009702,0.0104703,0.0113387,0.0123145,0.00362778,0.00409976,0.00478621,0.00557278,0.00645947,0.0074336,0.00849517,0.00966095,0.0109309,0.0132792,0.0168319,0.0208429,0.0244683
32.601,34.5,0.948,0.0185829,1.02971,0.998845,0.972664,0.951319,0.934808,0.914775,0.89122,0.868605,1.45435,1.44502,1.43176,1.41529,1.39561,1.38912,1.39582,1.39099,1.15739,1.18296,1.21161,1.24177,1.27344,1.30453,1.33503,1.37135,1.41347,1.45985,1.49039,1.5433,1.60181,0.0050265,0.00548925,0.00595375,0.00647175,0.00704325,0.00770925,0.00846975,0.00925975,0.0100792,0.0109873,0.00637625,0.0071495,0.0079845,0.0088705,0.0098075,0.0108085,0.0118735,0.0132,0.014788,0.0163543,0.00354903,0.00398465,0.00463965,0.00541548,0.00631214,0.00732858,0.00846482,0.00979381,0.0113156,0.0138381,0.0175895,0.0227703,0.0277399
