S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
34.661,68.7,0.844,0.935,2,1.06645,1.03817,1.0098,0.984518,0.962318,0.942026,0.923642,0.908257,0.895871,0.885606,1.42872,1.42395,1.41977,1.42014,1.42508,1.4219,1.41061,1.40834,1.41508,1.41986,1.18711,1.20318,1.22022,1.24552,1.27909,1.31068,1.34029,1.3723,1.40671,1.46233,1.51858,1.56538,1.60339,0.00357175,0.003901,0.004249,0.004641,0.005077,0.00555725,0.00608175,0.00668425,0.00736475,0.00814725,0.0045515,0.0050865,0.0056695,0.00634525,0.00711375,0.0079155,0.0087505,0.00974775,0.0109073,0.0122203,0.00305181,0.00322326,0.00358746,0.00407858,0.00469662,0.00540864,0.00621464,0.0071407,0.0081868,0.0100978,0.0130594,0.0167685,0.0202268
26.627,88.5,0.676,0.715,2,0.917008,0.878678,0.843777,0.81633,0.796336,0.772294,0.744203,0.724941,0.714506,0.702681,1.18936,1.16013,1.13709,1.11501,1.09388,1.07305,1.0525,1.03799,1.02951,1.01873,1.17724,1.19394,1.21307,1.23405,1.25689,1.27809,1.29767,1.32112,1.34847,1.36991,1.40254,1.43645,1.4499,0.0031885,0.00340725,0.00364575,0.00393925,0.00428775,0.00463775,0.00498925,0.00543725,0.00598175,0.006581,0.00388825,0.00422025,0.00459475,0.005015,0.005481,0.005981,0.006515,0.00716125,0.00791975,0.008735,0.00333662,0.00349052,0.00384788,0.00430517,0.00486241,0.00550022,0.0062186,0.00705479,0.00800878,0.00957946,0.0121964,0.0155106,0.0184467
30.335,115.5,0.62,1.045,2,0.983505,0.952878,0.92675,0.905354,0.88869,0.873574,0.860008,0.848211,0.838186,0.8299,1.26869,1.25977,1.25319,1.25765,1.27314,1.27945,1.27658,1.27976,1.28898,1.30219,1.17151,1.18178,1.19598,1.21247,1.23126,1.25739,1.29086,1.32269,1.35288,1.41147,1.47473,1.52355,1.56929,0.00346125,0.00376375,0.00410525,0.00450775,0.00497125,0.0054955,0.0060805,0.00678025,0.00759475,0.00851625,0.004267,0.004753,0.005303,0.005981,0.006787,0.00764375,0.00855125,0.0096545,0.0109535,0.0125053,0.00334077,0.00347087,0.00381075,0.00425476,0.0048029,0.00548754,0.00630869,0.00725101,0.00831452,0.0103528,0.0136108,0.0178828,0.0220968
28.893,119.1,0.988,0.735,2,0.893101,0.849547,0.81023,0.774046,0.740996,0.711724,0.686229,0.66203,0.639125,0.615918,1.16263,1.12425,1.08812,1.05208,1.01614,0.982828,0.952165,0.921105,0.889649,0.863683,1.16803,1.18992,1.21284,1.23529,1.25726,1.27974,1.30271,1.32403,1.3437,1.36565,1.3844,1.39167,1.40287,0.002743,0.00288025,0.00302875,0.00319225,0.00337075,0.00357625,0.00380875,0.004056,0.004318,0.0045935,0.0033305,0.00354375,0.00377125,0.004004,0.004242,0.004505,0.004793,0.00509025,0.00539675,0.00576375,0.00295339,0.00313207,0.00347562,0.00388522,0.00436087,0.00489754,0.00549522,0.00615477,0.0068762,0.00807753,0.0099239,0.0120901,0.0140907
30.129,83.1,0.748,0.645,2,0.959186,0.914274,0.870583,0.833402,0.802731,0.774739,0.749426,0.72447,0.699871,0.68116,1.26403,1.22432,1.18461,1.14924,1.11822,1.08974,1.06379,1.03654,1.008,0.982527,1.18504,1.20573,1.23095,1.25444,1.27619,1.29757,1.31857,1.33989,1.36152,1.3864,1.41335,1.43576,1.44235,0.003193,0.0033785,0.0035675,0.00379325,0.00405575,0.004341,0.004649,0.00498425,0.00534675,0.005794,0.0039405,0.0042295,0.0045325,0.0048675,0.0052345,0.0056385,0.0060795,0.0065475,0.0070425,0.00759175,0.00320601,0.00337855,0.00375174,0.00420687,0.00474393,0.00535457,0.0060388,0.00680925,0.00766591,0.00911675,0.0113856,0.0141809,0.0165974
31.777,92.1,0.828,1.035,2,1.01486,0.987771,0.962237,0.939941,0.920884,0.902702,0.885394,0.871611,0.861351,0.859862,1.33406,1.32825,1.33058,1.32918,1.32404,1.32417,1.32958,1.33349,1.33589,1.34437,1.17578,1.19358,1.21708,1.24187,1.26792,1.29231,1.31501,1.34543,1.38356,1.42631,1.48479,1.5406,1.56345,0.003438,0.0037525,0.0040955,0.004476,0.004894,0.00535575,0.00586125,0.00645225,0.00712875,0.0079765,0.00428475,0.00478275,0.00536225,0.00597875,0.00663225,0.00740125,0.00828575,0.00926825,0.0103488,0.0116425,0.00310256,0.00327384,0.0036547,0.00414004,0.00472987,0.00540223,0.00615714,0.00706846,0.00813621,0.00990787,0.0128426,0.0165865,0.0198285
35.485,57.9,0.916,1.085,2,1.09868,1.07425,1.05242,1.03387,1.0186,1.00659,0.997861,0.983773,0.964325,0.952977,1.47791,1.48442,1.4929,1.50361,1.51656,1.52449,1.52738,1.53939,1.56052,1.57676,1.17883,1.19501,1.21819,1.24516,1.27593,1.30949,1.34584,1.38238,1.4191,1.472,1.52269,1.59232,1.6546,0.00360525,0.003966,0.004362,0.00480875,0.00530625,0.00587725,0.00652175,0.00717475,0.00783625,0.008666,0.00463575,0.005238,0.00591,0.00667075,0.00752025,0.00844775,0.00945325,0.0106587,0.0120643,0.0135975,0.00294829,0.00311683,0.00349115,0.00397905,0.00458055,0.00529724,0.00612914,0.00708215,0.00815626,0.0100539,0.013001,0.0170037,0.0207528
26.421,54.3,0.788,0.785,2,0.977613,0.940361,0.907763,0.875641,0.843999,0.816985,0.794602,0.773131,0.752572,0.73085,1.2924,1.26258,1.23188,1.20318,1.17647,1.15573,1.14097,1.1221,1.09913,1.079,1.18545,1.20014,1.21888,1.24215,1.26995,1.29684,1.32283,1.34303,1.35744,1.38454,1.42571,1.45612,1.47691,0.00330875,0.003559,0.003831,0.00412075,0.00442825,0.0047945,0.0052195,0.0056695,0.0061445,0.00666075,0.0041145,0.004482,0.004872,0.005298,0.00576,0.00629725,0.00690975,0.0075415,0.0081925,0.00895175,0.00314329,0.00331077,0.00368166,0.00415893,0.00474259,0.00541377,0.00617248,0.0069933,0.00787624,0.00946701,0.0121182,0.0153304,0.0182663
29.717,32.7,0.708,0.635,2,1.04232,0.999862,0.958327,0.920562,0.886567,0.851619,0.815718,0.783116,0.753811,0.725671,1.37857,1.34658,1.31514,1.28037,1.24227,1.20471,1.16768,1.13793,1.11547,1.08573,1.18615,1.20336,1.22545,1.24961,1.27583,1.3004,1.3233,1.34756,1.37316,1.39633,1.42359,1.46719,1.49631,0.00346975,0.00371325,0.00396775,0.004254,0.004572,0.00489925,0.00523575,0.00560625,0.00601075,0.0064575,0.0043335,0.004716,0.005122,0.00554225,0.00597675,0.00643475,0.00691625,0.007478,0.00812,0.00876125,0.00315481,0.0033193,0.00368501,0.00414939,0.00471244,0.00535687,0.00608267,0.00690937,0.00783699,0.00937801,0.0118551,0.0151141,0.0180349
34.867,61.5,0.628,0.795,2,1.09933,1.07186,1.04629,1.02116,0.996478,0.981813,0.977166,0.959347,0.928355,0.906398,1.45248,1.45287,1.45609,1.4598,1.46399,1.46998,1.47776,1.47906,1.47388,1.47404,1.17742,1.19257,1.21131,1.23388,1.26029,1.28963,1.32188,1.35612,1.39234,1.45009,1.5048,1.56581,1.62658,0.00375075,0.00410775,0.00450725,0.0049445,0.0054195,0.00602225,0.00675275,0.0074495,0.0081125,0.00896275,0.00474225,0.00533,0.005996,0.006753,0.007601,0.008575,0.009675,0.0108883,0.0122147,0.013756,0.00319625,0.00335253,0.00370406,0.00417086,0.00475293,0.00545004,0.00626219,0.00721996,0.00832334,0.0103498,0.0135474,0.0178976,0.0221677
