S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
34.661,68.7,0.844,0.935,2,1.06859,1.04007,1.01055,0.984645,0.962356,0.942104,0.923891,0.908724,0.896602,0.88507,1.42879,1.42546,1.42369,1.42342,1.42464,1.42111,1.41282,1.41157,1.41734,1.42254,1.18572,1.20187,1.2207,1.24607,1.27801,1.30853,1.33765,1.37136,1.40967,1.46359,1.51913,1.56735,1.6075,0.0029225,0.00319075,0.00347225,0.0037905,0.0041455,0.00453825,0.00496875,0.00546425,0.00602475,0.00665,0.0037165,0.00415725,0.00464175,0.00519025,0.00580275,0.00645875,0.00715825,0.00798075,0.00892625,0.01,0.00248931,0.00262969,0.00293145,0.00333271,0.00383347,0.00441061,0.00506415,0.00582734,0.00670018,0.00824851,0.0106701,0.0137177,0.0165704
26.627,88.5,0.676,0.715,2,0.917179,0.879566,0.845506,0.816697,0.793142,0.769381,0.745413,0.726969,0.714046,0.700686,1.19059,1.1614,1.13811,1.11638,1.0962,1.07532,1.05374,1.03852,1.02964,1.01796,1.17804,1.19532,1.21539,1.23657,1.25885,1.27958,1.29875,1.32117,1.34685,1.37485,1.40602,1.43545,1.45292,0.0026025,0.00278325,0.00298175,0.0032145,0.0034815,0.0037705,0.0040815,0.0044525,0.0048835,0.0053625,0.0031815,0.003453,0.003757,0.0041,0.004482,0.004889,0.005321,0.00584425,0.00645875,0.00711875,0.00272705,0.00285466,0.00314972,0.00352396,0.00397738,0.0044969,0.00508253,0.0057605,0.00653082,0.00784901,0.00996956,0.0126575,0.015093
30.335,115.5,0.62,1.045,2,0.98415,0.954231,0.928904,0.90722,0.88918,0.874294,0.862562,0.851769,0.841915,0.832936,1.27,1.26139,1.25642,1.26059,1.2739,1.27924,1.27663,1.28043,1.29066,1.30447,1.1703,1.18117,1.19678,1.21437,1.23393,1.25957,1.29129,1.3225,1.35321,1.41174,1.47178,1.5184,1.56638,0.00282875,0.00307775,0.00335925,0.003686,0.004058,0.0044895,0.0049805,0.00555675,0.00621825,0.006968,0.00348675,0.00388425,0.00433875,0.00489025,0.00553875,0.00623675,0.00698425,0.0078895,0.0089525,0.0102145,0.00272498,0.0028329,0.00311388,0.00348034,0.00393227,0.00448959,0.00515228,0.00591836,0.00678782,0.00844832,0.0110867,0.0145432,0.0179875
28.893,119.1,0.988,0.735,2,0.893994,0.850617,0.812435,0.777189,0.744881,0.715136,0.687957,0.662351,0.638317,0.615657,1.16315,1.12313,1.0849,1.04964,1.01735,0.984251,0.950346,0.917937,0.887023,0.860214,1.1677,1.18947,1.21251,1.235,1.25693,1.27926,1.30199,1.32087,1.3359,1.35866,1.37901,1.38786,1.39754,0.0022415,0.00235525,0.00248175,0.00261875,0.00276625,0.0029315,0.0031145,0.00331075,0.00352025,0.0037485,0.00271975,0.00288875,0.00306825,0.00326125,0.00346775,0.003681,0.003901,0.00413575,0.00438525,0.0046755,0.00241092,0.00255655,0.00283706,0.00317179,0.00356074,0.00399798,0.00448349,0.00501135,0.00558156,0.00656249,0.00806409,0.00983703,0.0114409
30.129,83.1,0.748,0.645,2,0.960221,0.916904,0.874933,0.837344,0.804138,0.77439,0.748099,0.722745,0.698327,0.678526,1.2641,1.22386,1.18279,1.14782,1.11896,1.09065,1.06288,1.03571,1.00915,0.983129,1.18582,1.20777,1.23269,1.25589,1.27739,1.29781,1.31714,1.33536,1.35248,1.38178,1.4149,1.43937,1.44883,0.0026095,0.00276675,0.00292825,0.0031115,0.0033165,0.00354375,0.00379325,0.004066,0.004362,0.004717,0.0032185,0.00345175,0.00369325,0.00396775,0.00427525,0.0046055,0.0049585,0.00534225,0.00575675,0.0062005,0.00261896,0.00276327,0.00306802,0.00343919,0.00387678,0.00437198,0.00492479,0.00553925,0.00621538,0.00742107,0.00930937,0.0116184,0.013622
31.777,92.1,0.828,1.035,2,1.01403,0.986356,0.960715,0.939419,0.922466,0.904194,0.884602,0.871779,0.865727,0.863356,1.33558,1.32961,1.33002,1.32834,1.32456,1.32735,1.33669,1.34146,1.34167,1.34553,1.17553,1.19331,1.21554,1.23978,1.26602,1.29198,1.31766,1.34871,1.38514,1.42525,1.49023,1.54432,1.55848,0.002804,0.00305775,0.00333525,0.00364875,0.00399825,0.00437375,0.00477525,0.0052675,0.0058505,0.0065345,0.00350525,0.003911,0.004375,0.004878,0.00542,0.006063,0.006807,0.007613,0.008481,0.009497,0.0025322,0.00267166,0.00297919,0.00337362,0.00385496,0.00441023,0.00503943,0.00578461,0.00664577,0.00807759,0.0105272,0.0135608,0.0161298
35.485,57.9,0.916,1.085,2,1.10125,1.07646,1.05224,1.03258,1.01747,1.0051,0.995457,0.981695,0.96381,0.95394,1.47665,1.48317,1.49212,1.50148,1.51123,1.51966,1.52675,1.54,1.55939,1.57762,1.17915,1.19563,1.21922,1.24593,1.27576,1.30761,1.34146,1.37851,1.41874,1.47004,1.52299,1.594,1.65383,0.00295275,0.003246,0.00356,0.00392025,0.00432675,0.00478875,0.00530625,0.00584275,0.00639825,0.0070905,0.00377975,0.0042715,0.0048225,0.00543625,0.00611275,0.00687025,0.00770875,0.00869175,0.00981925,0.0110902,0.00240771,0.00254617,0.00285376,0.00325122,0.00373854,0.0043174,0.00498779,0.00576814,0.00665845,0.00819254,0.010612,0.0138806,0.0169328
26.421,54.3,0.788,0.785,2,0.979748,0.94113,0.905483,0.873131,0.844075,0.816768,0.791213,0.769912,0.752867,0.731942,1.28943,1.25963,1.23097,1.20367,1.17774,1.15571,1.13756,1.11888,1.09967,1.07902,1.18656,1.2009,1.21915,1.24165,1.26841,1.29347,1.31682,1.33903,1.36008,1.38736,1.4269,1.45708,1.47471,0.002705,0.00290525,0.00311975,0.0033575,0.0036185,0.00391325,0.00424175,0.00461,0.005018,0.00544075,0.0033535,0.00365325,0.00397575,0.00432725,0.00470775,0.00513975,0.00562325,0.00614525,0.00670575,0.00731525,0.00256891,0.00270466,0.00300587,0.00339363,0.00386793,0.00440842,0.00501508,0.00569447,0.00644657,0.0077452,0.00990374,0.0125277,0.0148905
29.717,32.7,0.708,0.635,2,1.04247,0.999854,0.959338,0.920689,0.883906,0.846664,0.808963,0.777117,0.751127,0.726356,1.3794,1.34716,1.31435,1.27871,1.24026,1.20211,1.16427,1.13391,1.11105,1.08127,1.18701,1.2049,1.22796,1.25113,1.27438,1.29868,1.32401,1.34804,1.37077,1.39645,1.43018,1.46966,1.48856,0.002836,0.0030345,0.0032435,0.0034725,0.0037215,0.00397675,0.00423825,0.0045455,0.0048985,0.005284,0.003541,0.003853,0.004181,0.0045205,0.0048715,0.0052415,0.0056305,0.00608575,0.00660725,0.0071315,0.00257767,0.00271358,0.00301486,0.00339127,0.00384281,0.00436999,0.0049728,0.0056455,0.00638808,0.00766049,0.00972606,0.0123642,0.0146562
34.867,61.5,0.628,0.795,2,1.09789,1.07054,1.04612,1.02197,0.998067,0.980798,0.97016,0.953184,0.929871,0.910841,1.453,1.45432,1.45758,1.46059,1.46335,1.46944,1.47886,1.48177,1.47818,1.48001,1.17864,1.19321,1.21188,1.23383,1.25906,1.28917,1.32417,1.35909,1.39393,1.44835,1.51149,1.57276,1.62531,0.00306175,0.00335375,0.00367925,0.00403925,0.00443375,0.00491225,0.00547475,0.0060545,0.0066515,0.00736325,0.003874,0.00435575,0.00489925,0.0055155,0.0062045,0.007,0.007902,0.00889675,0.00998425,0.011261,0.00261197,0.0027384,0.00302636,0.00340538,0.00387545,0.00444901,0.00512606,0.00591018,0.00680138,0.00843916,0.0111224,0.0146669,0.0180918
