S0,L,ms,fi,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error
30.335,115.5,0.62,0.655965,0.988188,0.955178,0.922611,0.900787,0.889708,0.876141,0.860086,0.844221,0.828543,0.820312,1.27342,1.26426,1.2579,1.26252,1.27812,1.27702,1.25923,1.25908,1.27656,1.2904,0.00491925,0.00533175,0.00577325,0.00634225,0.00703875,0.00779075,0.00859825,0.009537,0.010607,0.0119113,0.00606325,0.00675475,0.00753625,0.0084975,0.0096385,0.0107745,0.0119055,0.0134077,0.0152812,0.0174345
28.893,119.1,0.988,-0.348398,0.892149,0.848298,0.808981,0.774006,0.74337,0.71379,0.685264,0.661448,0.642343,0.619975,1.15997,1.12207,1.08789,1.05191,1.01411,0.98099,0.952549,0.922941,0.892165,0.866586,0.00387025,0.0040635,0.0042765,0.0045175,0.0047865,0.005076,0.005386,0.0057355,0.0061245,0.00652175,0.00469775,0.0049985,0.0053235,0.0056535,0.0059885,0.00636425,0.00678075,0.0072085,0.0076475,0.00816775
30.129,83.1,0.748,-0.213489,0.956582,0.911432,0.868199,0.833033,0.805935,0.777246,0.746966,0.720808,0.698774,0.681767,1.27361,1.23369,1.18925,1.14955,1.11458,1.08528,1.06163,1.03807,1.0146,0.988498,0.0045065,0.004767,0.005029,0.0053585,0.0057555,0.0061555,0.0065585,0.00702,0.00754,0.0081835,0.005613,0.0060165,0.0064195,0.006872,0.007374,0.0079455,0.0085865,0.00928325,0.0100357,0.0107967
31.777,92.1,0.828,0.241546,1.01383,0.986552,0.961111,0.94067,0.925226,0.905351,0.881045,0.865911,0.859953,0.864206,1.33172,1.32396,1.32613,1.32769,1.32864,1.32715,1.32322,1.32118,1.32103,1.33283,0.00485,0.0052955,0.0057865,0.00634375,0.00696725,0.0075885,0.0082075,0.00902275,0.0100343,0.011316,0.0060435,0.00673575,0.00755125,0.0084425,0.0094095,0.0104778,0.0116472,0.0129815,0.0144805,0.016351
35.485,57.9,0.916,0.170044,1.09955,1.07419,1.04976,1.03223,1.02162,1.00835,0.992439,0.976505,0.960549,0.949213,1.47267,1.47931,1.493,1.50743,1.52258,1.528,1.5237,1.53347,1.55732,1.58153,0.00510025,0.005605,0.006153,0.006796,0.007534,0.0083235,0.0091645,0.0100683,0.0110347,0.0122037,0.00653625,0.0073895,0.0083605,0.0094555,0.0106745,0.0119618,0.0133173,0.0150035,0.0170205,0.0192748
26.421,54.3,0.788,-0.00484982,0.983098,0.946398,0.909951,0.873985,0.8385,0.811433,0.792787,0.771445,0.74741,0.72616,1.29101,1.26197,1.23206,1.20357,1.17652,1.15286,1.1326,1.11248,1.09253,1.07437,0.0047055,0.00505925,0.00541775,0.0057995,0.0062045,0.00672475,0.00736025,0.00799125,0.00861775,0.00934075,0.00581825,0.00634225,0.00689875,0.00749875,0.00814225,0.008874,0.009694,0.0105682,0.0114968,0.012581
29.717,32.7,0.708,-0.162374,1.04393,0.999776,0.952309,0.914231,0.885544,0.854536,0.821209,0.789989,0.760877,0.730438,1.378,1.34781,1.3178,1.2849,1.24911,1.21214,1.17401,1.14225,1.11686,1.08853,0.00491175,0.005248,0.005576,0.00598,0.00646,0.00695075,0.00745225,0.00800275,0.00860225,0.00921275,0.006131,0.006678,0.007258,0.007867,0.008505,0.00915825,0.00982675,0.0106027,0.0114862,0.0124257
34.867,61.5,0.628,0.334495,1.10099,1.07344,1.04821,1.02237,0.995891,0.979259,0.972469,0.953866,0.923446,0.907477,1.4462,1.45014,1.46115,1.46725,1.46844,1.47371,1.48306,1.48747,1.48695,1.49103,0.005317,0.00582275,0.00639025,0.006998,0.007646,0.00848825,0.00952475,0.0105072,0.0114358,0.0127295,0.00668375,0.007535,0.008519,0.00960125,0.0107817,0.0121498,0.0137052,0.0154597,0.0174132,0.0196923
29.099,90.3,0.636,0.442384,0.993927,0.961722,0.935227,0.910477,0.887474,0.868149,0.852502,0.840447,0.831982,0.821653,1.28931,1.28032,1.28141,1.27725,1.26785,1.26266,1.26169,1.26142,1.26184,1.26667,0.00493175,0.00535325,0.00584375,0.00638725,0.00698375,0.00767825,0.00847075,0.009413,0.010505,0.011722,0.00609125,0.0067865,0.0076075,0.00849675,0.00945425,0.010567,0.011835,0.0132925,0.0149395,0.016887
33.219,108.3,0.772,-0.0839736,0.957944,0.923269,0.890872,0.860088,0.830917,0.807706,0.790455,0.773154,0.755804,0.735102,1.26459,1.23661,1.21319,1.19563,1.18392,1.16886,1.15046,1.13628,1.12631,1.11125,0.004564,0.00489525,0.00525575,0.00563975,0.00604725,0.00654325,0.00712775,0.0077405,0.0083815,0.009079,0.005663,0.00615775,0.00670725,0.007338,0.00805,0.00880425,0.00960075,0.0105242,0.0115747,0.0126348
