S0,L,ms,fi,b,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error
26.9507,77.8857,0.671429,-0.4025,5.85,0.0719241,-0.181287,-0.310588,-0.540902,-0.676217,-0.742144,0.0298683,0.0297518,0.0296374,0.0271147,0.0242633,0.036775
29.5993,72.8571,0.888571,-0.545358,9.05,0.100992,-0.145696,-0.333066,-0.3963,-0.595092,-1.02218,0.0273799,0.0258746,0.0278626,0.0280963,0.0227157,0.0392063
32.6893,37.6571,0.642857,-0.170356,4.55,0.0823102,-0.0755561,-0.198107,-0.266994,-0.358725,-0.445671,0.0265064,0.0265173,0.0278677,0.0310928,0.0292609,0.0282933
35.7793,33.8857,0.814286,-0.277501,6.45,0.0918653,-0.0571941,-0.182844,-0.184407,-0.296862,-0.392309,0.024692,0.0253517,0.0262921,0.0327141,0.0278374,0.0258568
35.3379,94.2286,0.682857,0.311785,3.65,0.0801872,-0.0896208,-0.251901,-0.27963,-0.370459,-0.476309,0.0266628,0.0267474,0.0284515,0.0281906,0.0286498,0.0285729
29.305,41.4286,0.768571,-0.259643,9.65,0.115563,-0.192566,-0.432646,-0.53316,-0.575735,-0.708169,0.0276053,0.0273123,0.0279068,0.0278172,0.0276832,0.0251769
27.9807,35.1429,0.882857,0.240355,6.75,0.115787,-0.0747562,-0.208481,-0.238721,-0.355927,-0.407087,0.0253765,0.0258603,0.0263114,0.0317159,0.0248557,0.0272792
30.0407,56.5143,0.654286,-0.0989292,4.65,0.0985432,-0.135771,-0.260339,-0.365071,-0.486,-0.517003,0.0271718,0.027556,0.0282551,0.0297659,0.0273574,0.0294427
35.6321,70.3429,0.934286,-0.188214,4.75,0.0600002,-0.0311571,-0.0947818,-0.225137,-0.3496,-0.346216,0.0242215,0.0250608,0.0282112,0.0262353,0.0269628,0.0270252
26.8036,87.9429,0.922857,-0.22393,8.15,0.0630785,-0.141732,-0.313796,-0.388351,-0.618174,-0.944895,0.0283538,0.0293487,0.0298971,0.0292815,0.0190921,0.0422581
33.5721,85.4286,0.957143,0.168927,8.65,0.118891,-0.124675,-0.343472,-0.411916,-0.495236,-0.541016,0.0254544,0.0268908,0.0277812,0.0335402,0.0216527,0.0264348
34.1607,52.7429,0.757143,-0.563216,7.45,0.118646,-0.154645,-0.29107,-0.30668,-0.457082,-0.583053,0.0261329,0.0259736,0.0272956,0.0319825,0.0270008,0.0297594
30.1879,59.0286,0.928571,-0.384644,3.95,0.0849005,-0.074507,-0.203727,-0.326588,-0.389193,-0.416484,0.0237041,0.0252293,0.0253573,0.0264798,0.0288766,0.0290578
35.0436,104.286,0.66,0.115358,5.55,0.110905,-0.122887,-0.312675,-0.379874,-0.523064,-0.543318,0.0272728,0.0278823,0.028087,0.0300989,0.0261503,0.0299226
32.1007,38.9143,0.717143,-0.0632147,9.25,0.102636,-0.155797,-0.360373,-0.474087,-0.525637,-0.594644,0.0263211,0.026577,0.0273079,0.0276362,0.0308144,0.0266687
31.9536,119.371,0.837143,0.0260718,7.65,0.101875,-0.11285,-0.277274,-0.443245,-0.5775,-0.694567,0.0274177,0.0277277,0.0281318,0.0321302,0.0205059,0.0331036
28.8636,75.3714,0.705714,-0.134644,9.75,0.14138,-0.240083,-0.489901,-0.597813,-0.662538,-0.792394,0.0295313,0.0299592,0.0298431,0.0298868,0.0274766,0.0227915
