S0,L,ms,fi,b,RE50Y-2.0,RE50Y-1.8,RE50Y-1.6,RE50Y-1.4,RE50Y-1.2,RE50Y-1.0,RE50Y-0.8,RE50Y-0.6,RE50Y-0.4,RE50Y-0.2,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y1.2,RE50Y1.4,RE50Y1.6,RE50Y1.8,RE50Y2.0,RE50Y-2.0_Error,RE50Y-1.8_Error,RE50Y-1.6_Error,RE50Y-1.4_Error,RE50Y-1.2_Error,RE50Y-1.0_Error,RE50Y-0.8_Error,RE50Y-0.6_Error,RE50Y-0.4_Error,RE50Y-0.2_Error,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error,RE50Y1.2_Error,RE50Y1.4_Error,RE50Y1.6_Error,RE50Y1.8_Error,RE50Y2.0_Error
35.485,45.2,0.962857,0.133213,7.15,-0.136464,-0.160914,-0.1847,-0.240832,-0.332524,-0.989387,-0.459934,0.401025,-0.216758,-0.182159,-0.00728828,0.176636,0.263139,0.247939,0.322587,0.352676,0.457708,0.449178,0.475537,0.507837,0.516686,0.0802858,0.0553988,0.0452083,0.0389979,0.0375392,0.0377589,0.0397453,0.0511149,0.0364894,0.0351495,0.0357217,0.0360793,0.0366893,0.0462131,0.0353235,0.0343748,0.0384441,0.0397886,0.0456647,0.0548682,0.0723588
26.5093,92.9714,0.94,0.00821471,8.75,-0.0933826,0.00272605,-0.0479579,-0.118249,-0.24173,-0.420012,-0.567381,-0.463842,-0.459684,-0.260848,0.0102497,0.254324,0.406262,0.512196,0.660551,0.729694,0.731935,0.833459,0.877645,0.861883,0.955061,0.129881,0.085753,0.0615479,0.0533195,0.0452034,0.0625961,0.0302508,0.0423728,0.0420006,0.0410145,0.0409624,0.0423159,0.0431461,0.045484,0.025648,0.04618,0.0493593,0.0573784,0.0660958,0.0850383,0.136002
28.7164,82.9143,0.894286,0.579644,3.55,-0.206561,-0.140262,-0.0975229,-0.0955678,-0.116546,-0.222879,-0.322493,-0.200185,-0.0580397,-0.0609983,-0.00133618,0.0984591,0.156976,0.239402,0.312245,0.327458,0.34898,0.302608,0.33363,0.300739,0.196185,0.0922803,0.0723426,0.0539343,0.0461968,0.0415301,0.0384287,0.0387962,0.0380323,0.0375882,0.0371502,0.0368254,0.0367117,0.0381675,0.0376044,0.0398892,0.0389926,0.0427078,0.0462975,0.0546905,0.068045,0.0888531
35.7793,33.8857,0.814286,-0.277501,6.45,-0.0915477,-0.0488283,-0.081716,-0.154816,-0.236279,-0.73413,-0.474185,0.197634,-0.167811,-0.152913,-0.00117682,0.163695,0.261981,0.235676,0.307657,0.363389,0.450873,0.475332,0.511129,0.582668,0.564519,0.0888772,0.0600699,0.0453185,0.0411743,0.0380608,0.0388563,0.0433992,0.0487173,0.0378059,0.0352086,0.0354972,0.0363915,0.0374273,0.0447789,0.0387381,0.0366678,0.0388151,0.0420247,0.0468577,0.058934,0.0811537
34.455,113.086,0.694286,0.0975006,3.35,-0.0784581,-0.0323196,0.0298223,0.0422218,-0.0440765,-0.157632,-0.30437,-0.354252,-0.320856,-0.199878,-0.0224138,0.232106,0.321724,0.442383,0.485224,0.51967,0.544058,0.593755,0.646166,0.621443,0.614508,0.126944,0.0837902,0.0602257,0.0489627,0.0419432,0.0395167,0.0409498,0.0371478,0.0395845,0.0390868,0.0394474,0.0396086,0.0393789,0.0352989,0.0390279,0.0412826,0.0430929,0.0496156,0.0629023,0.080043,0.126567
34.8964,74.1143,0.797143,-0.438215,9.85,-0.0252146,-0.0561091,-0.137745,-0.259388,-0.457506,-1.34259,-0.401621,-0.550007,-0.557989,-0.316336,0.0140246,0.351314,0.55827,0.619663,0.633835,0.640708,0.797938,0.853185,0.902357,0.968756,1.04427,0.0989889,0.0642778,0.0497902,0.0404275,0.0366524,0.0610549,0.0529785,0.0369021,0.0377869,0.0383468,0.0378021,0.0381586,0.0386241,0.0385449,0.0390297,0.0370067,0.0412685,0.045359,0.0519654,0.0688172,0.105857
33.1307,115.6,0.82,0.401068,8.25,-0.0839105,-0.0959172,-0.130425,-0.216675,-0.377181,-1.45944,-0.348585,-0.0518271,-0.478449,-0.290849,-0.0214267,0.253775,0.419302,0.504588,0.559904,0.545344,0.659417,0.697525,0.72837,0.709779,0.656345,0.0944194,0.068413,0.0528017,0.0456307,0.0404451,0.0639104,0.0347874,0.0424939,0.0403157,0.038569,0.0383688,0.0391386,0.039019,0.0463284,0.0303396,0.0398109,0.0440079,0.0473244,0.0553911,0.069772,0.0930041
26.0679,99.2571,0.665714,0.29393,6.85,-0.16727,0.177101,0.131611,-0.0142595,-0.0737162,0.0642379,-0.433829,-0.509621,-0.397646,-0.233319,-0.00307159,0.212847,0.402009,0.512031,0.630389,0.6963,0.684132,0.781773,0.805931,0.832101,0.806348,0.159801,0.0934426,0.0661744,0.0524734,0.0460942,0.0504708,0.0323812,0.0424245,0.0431517,0.0411197,0.043026,0.0423138,0.0429768,0.0427099,0.0299303,0.0477563,0.0494253,0.0587716,0.0701126,0.0952303,0.146397
27.8336,118.114,0.602857,0.454642,4.05,0.03078,0.0560643,0.13556,0.0976546,0.0311242,0.0642546,-0.226969,-0.460316,-0.392936,-0.212772,-0.00717594,0.228913,0.365822,0.509063,0.585967,0.592219,0.649451,0.740149,0.704881,0.681785,0.761016,0.1602,0.0974204,0.0663824,0.0529744,0.0450268,0.042902,0.0360035,0.0382106,0.0430319,0.0420084,0.0436081,0.0435284,0.0413741,0.0374997,0.0349616,0.0453847,0.0499047,0.0571707,0.0701912,0.0937539,0.16004
34.1607,52.7429,0.757143,-0.563216,7.45,0.0314703,0.049769,-0.015725,-0.100298,-0.256818,-0.592084,-0.460152,-0.199632,-0.345576,-0.216002,0.0159952,0.225314,0.348705,0.41102,0.453638,0.536231,0.636302,0.678019,0.759198,0.799668,0.881994,0.0981254,0.070352,0.0519954,0.0431527,0.0401695,0.0437695,0.0411032,0.0455128,0.0375757,0.0378869,0.0375899,0.0369874,0.0386262,0.0442486,0.0372882,0.0417782,0.0416029,0.045252,0.0554326,0.072202,0.116733
26.6564,116.857,0.974286,0.633214,7.05,-0.161057,-0.0873196,-0.0712604,-0.109217,-0.199593,-0.609993,-0.428096,-0.067772,-0.293814,-0.23502,-0.0261455,0.183927,0.307945,0.402331,0.47925,0.508756,0.57282,0.641519,0.643753,0.604651,0.577716,0.108996,0.0717163,0.0573458,0.0467675,0.0430084,0.0414953,0.0353749,0.0422973,0.0409571,0.0382184,0.0394888,0.0391764,0.0411369,0.0396587,0.032271,0.0423052,0.0455602,0.0519508,0.0597855,0.0754272,0.106543
30.4821,100.514,0.831429,0.329645,7.35,-0.118854,-0.0912797,0.00501233,-0.125363,-0.272643,-0.753313,-0.408528,-0.0254361,-0.397618,-0.221389,-0.00724027,0.22969,0.342439,0.425343,0.512751,0.525762,0.606476,0.647117,0.656663,0.677802,0.643394,0.108365,0.0710198,0.0565435,0.0470156,0.0411745,0.047953,0.0326553,0.0457942,0.0394555,0.0386817,0.0385364,0.0394841,0.0399062,0.0453373,0.0299985,0.0431465,0.0447236,0.0488681,0.0568638,0.0733867,0.100987
30.0407,56.5143,0.654286,-0.0989292,4.65,0.00968322,0.111717,0.0564195,-0.0123358,-0.193604,-0.335465,-0.405085,-0.258057,-0.294499,-0.180373,-0.0104017,0.191906,0.322831,0.402342,0.481958,0.507783,0.523114,0.598963,0.655477,0.692865,0.69985,0.115322,0.0712129,0.0554896,0.0469152,0.0417362,0.0408236,0.0403009,0.0413515,0.0395525,0.0394441,0.039086,0.039389,0.0401819,0.0405926,0.0377839,0.0418808,0.0411536,0.046852,0.0579181,0.0763011,0.118489
28.275,90.4571,0.9,0.436784,4.35,-0.151752,-0.131637,-0.0272987,-0.0765104,-0.114502,-0.209291,-0.316764,-0.2006,-0.0998092,-0.107824,-0.027611,0.119315,0.213754,0.305763,0.381191,0.411915,0.436628,0.45708,0.393391,0.436369,0.36349,0.111014,0.0771724,0.0601043,0.0479371,0.0419689,0.0401554,0.0410294,0.0358964,0.0371416,0.0376258,0.0370277,0.0380872,0.0382743,0.0352721,0.0404808,0.0411992,0.0441082,0.0495118,0.0562551,0.074175,0.104547
31.365,71.6,0.997143,0.258214,8.55,-0.191951,-0.185561,-0.236911,-0.29752,-0.43607,-1.93094,-0.348438,0.311072,-0.468477,-0.254313,-0.0270547,0.210801,0.394392,0.500732,0.517945,0.443044,0.611274,0.665956,0.670695,0.680431,0.707652,0.0857012,0.0577184,0.0482545,0.0427841,0.0390714,0.0680405,0.0342522,0.0494656,0.0379377,0.03762,0.037989,0.0381036,0.038377,0.0507461,0.029605,0.0366288,0.0404111,0.0442033,0.0504149,0.0602981,0.0886441
