S0,L,ms,fi,b,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error
29.4521,80.4,0.917143,-0.581071,8.95,0.140058,0.327068,0.459329,0.591722,0.629384,0.842219,0.0292173,0.0275659,0.0273716,0.0256262,0.022276,0.0402612
27.6864,95.4857,0.62,-0.00964369,8.45,0.141244,0.386589,0.54577,0.638171,0.748185,0.809029,0.0343435,0.0337632,0.0323779,0.0317475,0.0207876,0.0265228
32.9836,48.9714,0.711429,-0.348927,3.75,0.078043,0.222232,0.334936,0.337069,0.393825,0.45058,0.0260994,0.0271888,0.0277789,0.0264219,0.028279,0.0278494
28.7164,82.9143,0.894286,0.579644,3.55,0.0864765,0.166673,0.199037,0.266835,0.325373,0.336547,0.0264852,0.0262183,0.0262426,0.0258175,0.0282675,0.0274252
27.0979,66.5714,0.865714,-0.295358,6.95,0.0668261,0.2694,0.430736,0.502526,0.543422,0.586795,0.0274205,0.0275028,0.0282825,0.0239821,0.0223049,0.0361716
30.1879,59.0286,0.928571,-0.384644,3.95,0.0646026,0.186647,0.280325,0.323156,0.390261,0.494512,0.0245501,0.0254143,0.0237386,0.0255177,0.0293041,0.0285363
35.0436,104.286,0.66,0.115358,5.55,0.106111,0.316971,0.437901,0.444355,0.501732,0.567767,0.0282125,0.0285306,0.0285823,0.0280175,0.0245242,0.0307673
28.8636,75.3714,0.705714,-0.134644,9.75,0.174695,0.431855,0.628885,0.6928,0.770396,0.759548,0.030505,0.0301012,0.0293625,0.0291451,0.0249658,0.0221793
32.1007,38.9143,0.717143,-0.0632147,9.25,0.0874174,0.415766,0.52683,0.583767,0.621337,0.545666,0.0272788,0.0268259,0.027115,0.0270669,0.0286885,0.0259325
31.9536,119.371,0.837143,0.0260718,7.65,0.0977988,0.349397,0.456219,0.535787,0.600372,0.56442,0.0284038,0.0284806,0.0286083,0.0295867,0.0194006,0.0333713
33.5721,85.4286,0.957143,0.168927,8.65,0.0949883,0.366073,0.524213,0.665941,0.546427,0.392973,0.0264041,0.0274282,0.0278578,0.0328013,0.0203592,0.0264028
34.1607,52.7429,0.757143,-0.563216,7.45,0.150637,0.295982,0.406339,0.515359,0.450194,0.489408,0.0270199,0.0263333,0.0273301,0.0305787,0.025717,0.0293222
26.8036,87.9429,0.922857,-0.22393,8.15,0.1128,0.347675,0.414837,0.613506,0.643357,0.732115,0.0292677,0.0300455,0.0301927,0.0270453,0.0181203,0.0431514
29.305,41.4286,0.768571,-0.259643,9.65,0.14909,0.441152,0.56472,0.64554,0.681869,0.656107,0.0285748,0.0275373,0.0273523,0.0270731,0.0253553,0.0247536
30.0407,56.5143,0.654286,-0.0989292,4.65,0.0777397,0.248042,0.385322,0.439613,0.477915,0.498563,0.0280964,0.0281453,0.0285698,0.0275998,0.0260614,0.0297847
35.6321,70.3429,0.934286,-0.188214,4.75,0.0834458,0.189016,0.20626,0.248238,0.319169,0.430128,0.0251439,0.0259318,0.0268437,0.0246906,0.027496,0.0267608
27.9807,35.1429,0.882857,0.240355,6.75,0.0929551,0.193806,0.345182,0.361759,0.387887,0.423849,0.0262963,0.0265534,0.027005,0.0294263,0.0239847,0.0279832
32.6893,37.6571,0.642857,-0.170356,4.55,0.0673447,0.248872,0.336893,0.375925,0.379778,0.441989,0.0273921,0.0271339,0.0281051,0.0294156,0.0279378,0.0283464
26.9507,77.8857,0.671429,-0.4025,5.85,0.0280986,0.288124,0.472592,0.601089,0.658976,0.721523,0.0309702,0.0303141,0.0300278,0.0246217,0.0229093,0.0380587
29.5993,72.8571,0.888571,-0.545358,9.05,0.0967617,0.339833,0.492896,0.637057,0.641835,0.764552,0.0283638,0.0264151,0.0279578,0.0270946,0.0215864,0.0378809
35.7793,33.8857,0.814286,-0.277501,6.45,0.0895117,0.270195,0.341118,0.286945,0.318451,0.334469,0.0255022,0.0261081,0.026637,0.0305767,0.0269393,0.025999
35.3379,94.2286,0.682857,0.311785,3.65,0.074398,0.258501,0.307529,0.384402,0.415033,0.462898,0.027629,0.0274005,0.0283283,0.0263133,0.0278664,0.0284021
