S0,L,ms,fi,b,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error
32.395,75.6429,0.785714,-0.4025,6.07857,0.0678038,0.158965,0.260282,0.312703,0.366316,0.476543,0.0278252,0.0284489,0.0272592,0.0243912,0.0298305,0.0299197
30.9236,74.3571,0.848571,0.633214,9.29286,0.0719643,0.307042,0.409999,0.517985,0.447117,0.378154,0.0260501,0.026526,0.0275373,0.038142,0.0229909,0.0275605
32.1007,56.3571,0.871429,0.311786,6.33571,0.106823,0.122633,0.144524,0.174433,0.172626,0.269398,0.0272089,0.0275809,0.0279612,0.0257914,0.028007,0.0275253
29.305,100.071,0.7,0.401071,8.90714,0.107366,0.263026,0.369514,0.482932,0.525081,0.509655,0.00977471,0.00989366,0.0103592,0.0109999,0.00746529,0.0111869
27.9807,98.7857,0.631429,-0.366786,1.96429,0.0382994,0.266197,0.490791,0.594282,0.62807,0.668484,0.0328449,0.0327471,0.0265172,0.0217574,0.0302857,0.033885
34.455,103.929,0.997143,0.168929,4.15,0.0315221,0.113128,0.195434,0.220088,0.329905,0.36094,0.0240252,0.0233885,0.0247576,0.0271291,0.0261718,0.0272093
29.0107,85.9286,0.762857,0.00821429,3.37857,0.097976,0.173252,0.326413,0.406855,0.42581,0.44,0.0283885,0.0272944,0.0228131,0.0244615,0.030234,0.0294111
31.5121,64.0714,0.665714,0.526071,2.99286,0.0678241,0.152436,0.209144,0.244622,0.312253,0.379808,0.0276684,0.0278874,0.0275024,0.0273075,0.029434,0.0292447
34.3079,55.0714,0.922857,-0.313214,7.49286,0.130832,0.19597,0.231206,0.20227,0.200459,0.293926,0.0257947,0.0268191,0.0302567,0.0247002,0.0264232,0.0275158
27.0979,38.3571,0.614286,-0.0453571,5.95,0.0415458,0.164436,0.265439,0.342357,0.40218,0.447969,0.0286187,0.0282374,0.0289842,0.0268172,0.0279707,0.0322575
32.9836,40.9286,0.911429,0.151071,1.32143,0.0324856,0.0473238,0.150053,0.213139,0.285911,0.331816,0.00913837,0.00890695,0.00916108,0.00968786,0.00919142,0.00914001
33.425,65.3571,0.825714,-0.581071,1.45,0.0557171,0.121734,0.200335,0.266758,0.356339,0.450172,0.00959625,0.00909283,0.00877318,0.00972566,0.00984658,0.010049
30.335,47.3571,0.894286,-0.509643,5.30714,0.0915111,0.143497,0.187591,0.232329,0.309971,0.420824,0.00960223,0.00930601,0.00849765,0.00943038,0.0108467,0.0102971
31.9536,93.6429,0.717143,-0.0275,6.85,0.080543,0.213393,0.304618,0.370317,0.426982,0.465609,0.0282342,0.0285696,0.0286887,0.0237812,0.0270749,0.0317731
